date,open,high,low,close,volume,outstanding_share,turnover
2016-05-13,2828.46,2850.09,2814.12,2827.11,11431971000.0,11804054579.0,0.9684783244172764
2016-05-16,2816.78,2851.23,2804.99,2850.86,11465359200.0,11804054579.0,0.9713068609829578
2016-05-17,2850.93,2860.32,2832.46,2843.68,12336906400.0,11804054579.0,1.0451414230113754
2016-05-18,2828.18,2828.26,2781.42,2807.51,14048782600.0,11804054579.0,1.1901658456403177
2016-05-19,2802.32,2829.4,2801.55,2806.91,11159507100.0,11804054579.0,0.945396094648132
2016-05-20,2792.89,2825.95,2785.08,2825.48,10870089900.0,11804054580.000002,0.9208776379615824
2016-05-23,2826.31,2848.07,2826.26,2843.64,12047045500.0,12192650323.0,0.9880579841836903
2016-05-24,2839.68,2839.7,2807.19,2821.67,11145244500.0,12192650323.0,0.9140953119089955
2016-05-25,2835.03,2843.16,2807.75,2815.09,10352726500.0,12192650323.0,0.8490956622015805
2016-05-26,2813.54,2827.09,2780.76,2822.44,11476679700.0,12192650323.0,0.9412785076227926
2016-05-27,2817.97,2832.8,2809.8,2821.05,10984582300.0,12192650323.0,0.9009183408859744
2016-05-30,2814.65,2830.97,2794.66,2822.45,10631958900.0,12192650323.0,0.8719973605692652
2016-05-31,2822.59,2917.14,2822.59,2916.62,21526034100.0,12192650323.0,1.765492614792181
2016-06-01,2917.15,2929.08,2909.51,2913.51,18838642100.0,12192650323.0,1.5450817993576933
2016-06-02,2911.22,2925.67,2906.52,2925.23,15971691600.0,12192650323.0,1.3099442021946026
2016-06-03,2929.79,2945.52,2915.18,2938.68,17202102300.0,12192650323.0,1.4108583322159465
2016-06-06,2940.99,2945.94,2922.28,2934.1,14199374200.0,12192650323.0,1.1645847148765147
2016-06-07,2936.28,2938.44,2923.5,2936.04,13298786700.0,12192650323.0,1.0907215697733414
2016-06-08,2932.38,2937.99,2908.37,2927.16,14304607100.0,12192650323.0,1.173215561920614
2016-06-13,2897.27,2911.16,2832.51,2833.07,16925543400.0,12192650323.0,1.388175905288775
2016-06-14,2824.23,2843.46,2822.06,2842.19,11975527400.0,12192650323.0,0.982192311167128
2016-06-15,2814.69,2894.26,2811.78,2887.21,16667106900.0,12192650323.0,1.3669798164029574
2016-06-16,2878.4,2887.74,2865.39,2872.82,17388276700.0,14631180387.0,1.1884397731470604
2016-06-17,2873.01,2900.3,2872.18,2885.1,17147251700.0,14631180387.0,1.1719663927618282
2016-06-20,2887.64,2891.66,2864.02,2888.81,13657105100.0,14631180387.0,0.9334246956680625
2016-06-21,2898.38,2919.3,2869.18,2878.56,16435908900.0,14631180387.0,1.1233481144558592
2016-06-22,2872.73,2905.98,2869.51,2905.55,13059042400.0,14631180387.0,0.8925487933702967
2016-06-23,2902.4,2904.11,2878.66,2891.96,13613737500.0,14631180387.0,0.9304606422661557
2016-06-24,2883.76,2899.57,2807.6,2854.29,19084260900.0,14631180387.0,1.304355519870196
2016-06-27,2840.56,2895.73,2840.28,2895.7,15669747200.0,14631180387.0,1.0709831186226628
2016-06-28,2885.01,2913.58,2878.82,2912.56,17387104700.0,14631180387.0,1.188359670245654
2016-06-29,2918.53,2934.0,2915.06,2931.59,19321558600.0,14631180387.0,1.3205741497909125
2016-06-30,2931.48,2938.14,2922.31,2929.61,15446493000.0,14631180387.0,1.0557243224015211
2016-07-01,2931.8,2944.99,2925.81,2932.48,14124622700.0,14631180387.0,0.965378207799961
2016-07-04,2924.29,2992.5,2922.52,2988.6,22201713200.0,14631180387.0,1.5174246105069227
2016-07-05,2991.75,3010.28,2990.64,3006.39,23520445000.0,14631180387.0,1.6075562174667897
2016-07-06,2998.52,3017.65,2984.83,3017.29,21237092000.0,14631180387.0,1.451495466412911
2016-07-07,3009.35,3024.11,2994.64,3016.85,22268166700.0,14631180387.0,1.521966520198573
2016-07-08,3000.33,3001.55,2983.88,2988.09,16898685900.0,14631180387.0,1.1549776199201747
2016-07-11,2993.75,3022.94,2990.91,2994.92,22433822400.0,14631180387.0,1.5332886210556704
2016-07-12,2992.52,3049.68,2984.42,3049.38,25948629500.0,14631180387.0,1.7735157939174686
2016-07-13,3049.51,3069.05,3048.2,3060.69,25365938400.0,14631180387.0,1.7336904972163405
2016-07-14,3054.98,3057.05,3036.52,3054.02,18019480400.0,14631180387.0,1.231580769519495
2016-07-15,3056.68,3062.68,3044.54,3054.3,17286639800.0,14631180387.0,1.1814931770890755
2016-07-18,3047.64,3058.32,3031.64,3043.56,17749656200.0,14631180387.0,1.2131390448695998
2016-07-19,3040.23,3043.6,3014.29,3036.6,15536146600.0,14631180387.0,1.0618518936314991
2016-07-20,3034.71,3043.0,3022.63,3027.9,13824281500.0,14631180387.0,0.9448507320901504
2016-07-21,3027.6,3053.33,3027.37,3039.01,16376737000.0,14631180387.0,1.1193038816301486
2016-07-22,3038.12,3039.27,3007.46,3012.82,16201018100.0,14631180387.0,1.1072939893759237
2016-07-25,3008.09,3027.12,3003.29,3015.83,14420658200.0,14631180387.0,0.9856114010331626
2016-07-26,3014.04,3050.62,3013.8,3050.17,15669450600.0,14631180387.0,1.0709628468474435
2016-07-27,3050.37,3057.42,2939.23,2992.0,28016091500.0,14631180387.0,1.914821002746482
2016-07-28,2980.5,3003.36,2968.18,2994.32,19056495000.0,14631180387.0,1.3024577987523107
2016-07-29,2992.54,3000.06,2972.92,2979.34,15010153400.0,14631180387.0,1.0259017388191538
2016-08-01,2971.95,2972.88,2931.96,2953.38,14740776300.0,14631180387.0,1.007490572195896
2016-08-02,2950.08,2971.28,2946.64,2971.28,11546890000.0,14631180387.0,0.7891974327826322
2016-08-03,2963.22,2981.16,2956.79,2978.46,14114133200.0,14631180387.0,0.9646612799976546
2016-08-04,2976.41,2982.86,2958.93,2982.43,13393330100.0,14631180387.0,0.9153964168126963
2016-08-05,2978.78,2991.68,2971.56,2976.7,14185710100.0,14631180387.0,0.9695533596594977
2016-08-08,2972.62,3004.72,2959.05,3004.28,15572983300.0,14631180387.0,1.0643695783996214
2016-08-09,3001.31,3025.91,2998.68,3025.68,16999544600.0,14631180387.0,1.161871028198403
2016-08-10,3023.47,3033.2,3017.09,3018.75,16467516500.0,14631180387.0,1.1255084049562816
2016-08-11,3013.68,3038.05,3001.17,3002.64,16187948100.0,14631180387.0,1.1064006916614335
2016-08-12,3000.27,3051.05,2999.04,3050.67,16817365700.0,14631180387.0,1.1494196131258456
2016-08-15,3056.48,3137.48,3053.87,3125.2,29761650600.0,14631180387.0,2.034125054356081
2016-08-16,3130.53,3140.44,3102.06,3110.04,27832893400.0,14631180387.0,1.9022999282224624
2016-08-17,3106.99,3114.26,3090.28,3109.56,21383963700.0,14631180387.0,1.4615337337375691
2016-08-18,3107.75,3125.58,3093.32,3104.11,22935908100.0,14631180387.0,1.567604765530665
2016-08-19,3100.39,3113.34,3082.77,3108.1,19434745300.0,14631180387.0,1.3283101421719898
